2022-02-10 13:43:47.051 | restartedMain | INFO  | request_id: | org.springframework.boot.StartupInfoLogger: Starting RenshuoApplication using Java 17 on P84738 with PID 7390 (/Users/sarouar.hossain/Documents/SpringPractice/SpringRenshou/target/classes started by sarouar.hossain in /Users/sarouar.hossain/Documents/SpringPractice/SpringRenshou)
2022-02-10 13:43:47.052 | restartedMain | DEBUG | request_id: | org.springframework.boot.StartupInfoLogger: Running with Spring Boot v2.5.5, Spring v5.3.10
2022-02-10 13:43:47.052 | restartedMain | INFO  | request_id: | org.springframework.boot.SpringApplication: No active profile set, falling back to default profiles: default
2022-02-10 13:43:47.100 | restartedMain | INFO  | request_id: | org.springframework.boot.logging.DeferredLog: Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-02-10 13:43:47.100 | restartedMain | INFO  | request_id: | org.springframework.boot.logging.DeferredLog: For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-02-10 13:43:47.884 | restartedMain | INFO  | request_id: | org.springframework.boot.web.embedded.tomcat.TomcatWebServer: Tomcat initialized with port(s): 9090 (http)
2022-02-10 13:43:47.893 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Initializing ProtocolHandler ["http-nio-9090"]
2022-02-10 13:43:47.893 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Starting service [Tomcat]
2022-02-10 13:43:47.893 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Starting Servlet engine: [Apache Tomcat/9.0.53]
2022-02-10 13:43:47.934 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Initializing Spring embedded WebApplicationContext
2022-02-10 13:43:47.934 | restartedMain | INFO  | request_id: | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 833 ms
2022-02-10 13:43:48.247 | restartedMain | INFO  | request_id: | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer: LiveReload server is running on port 35729
2022-02-10 13:43:48.258 | restartedMain | INFO  | request_id: | org.apache.juli.logging.DirectJDKLog: Starting ProtocolHandler ["http-nio-9090"]
2022-02-10 13:43:48.275 | restartedMain | INFO  | request_id: | org.springframework.boot.web.embedded.tomcat.TomcatWebServer: Tomcat started on port(s): 9090 (http) with context path ''
2022-02-10 13:43:48.284 | restartedMain | INFO  | request_id: | org.springframework.boot.StartupInfoLogger: Started RenshuoApplication in 1.65 seconds (JVM running for 2.105)
